sepal_length,sepal_width,petal_length,petal_width,species,classification_difficulty
5.1,3.5,1.4,0.2,setosa,easy
4.9,3.0,1.4,0.2,setosa,easy
4.7,3.2,1.3,0.2,setosa,easy
4.6,3.1,1.5,0.2,setosa,easy
5.0,3.6,1.4,0.2,setosa,easy
7.0,3.2,4.7,1.4,versicolor,medium
6.4,3.2,4.5,1.5,versicolor,medium
6.9,3.1,4.9,1.5,versicolor,medium
5.5,2.3,4.0,1.3,versicolor,medium
6.5,2.8,4.6,1.5,versicolor,medium
6.3,3.3,6.0,2.5,virginica,medium
5.8,2.7,5.1,1.9,virginica,medium
7.1,3.0,5.9,2.1,virginica,medium
6.3,2.9,5.6,1.8,virginica,medium
6.5,3.0,5.8,2.2,virginica,medium
