Job_Title,Experience_Level,Salary_USD,Location,Company_Size,Remote_Ratio,Year
Data Scientist,Entry,65000,USA,Small,0,2023
Data Scientist,Mid,95000,USA,Medium,50,2023
Data Scientist,Senior,135000,USA,Large,100,2023
ML Engineer,Entry,75000,USA,Small,0,2023
ML Engineer,Mid,110000,USA,Medium,50,2023
ML Engineer,Senior,155000,USA,Large,100,2023
Data Analyst,Entry,55000,USA,Small,0,2023
Data Analyst,Mid,75000,USA,Medium,50,2023
Data Analyst,Senior,95000,USA,Large,100,2023
Data Engineer,Entry,70000,USA,Small,0,2023
Data Engineer,Mid,105000,USA,Medium,50,2023
Data Engineer,Senior,145000,USA,Large,100,2023
