Experiment_ID,Model,Dataset,Train_Acc,Test_Acc,Precision,Recall,F1_Score,Training_Time_min,Hyperparameters
EXP001,Random Forest,Iris,0.98,0.95,0.94,0.95,0.945,2.3,"n_estimators=100, max_depth=10"
EXP002,SVM,Iris,0.96,0.94,0.93,0.94,0.935,1.8,"kernel=rbf, C=1.0"
EXP003,Neural Network,Iris,0.99,0.93,0.92,0.93,0.925,5.1,"layers=[64,32], lr=0.001"
EXP004,Logistic Regression,Iris,0.95,0.94,0.94,0.94,0.94,0.5,"C=1.0, penalty=l2"
EXP005,KNN,Iris,0.97,0.92,0.91,0.92,0.915,0.2,n_neighbors=5
EXP006,Random Forest,Wine,0.99,0.97,0.96,0.97,0.965,3.1,"n_estimators=200, max_depth=15"
EXP007,Gradient Boosting,Wine,1.0,0.98,0.98,0.98,0.98,8.5,"n_estimators=100, lr=0.1"
EXP008,Decision Tree,Wine,0.95,0.89,0.88,0.89,0.885,0.4,max_depth=8
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
